ID,Language,Form,Cognate Set,Concept,Source
1291,Ika,ko'ɾiʔgənɨ,e,TONGUE,Constenla Umaña 2005
1292,Damana,kongɨɾa,c,TONGUE,Constenla Umaña 2005
1293,Chimila,ku'a:ʔ,c,TONGUE,Constenla Umaña 2005
1294,Chibcha,pkua,c,TONGUE,Constenla Umaña 2005
1295,Central Tunebo,'kuwa,e,TONGUE,Constenla Umaña 2005
1296,Barí,kobẽ:,e,TONGUE,Constenla Umaña 2005
1297,Lenca-Salvador,lets'a,,MOON,Constenla Umaña 2005
1298,Lenca-Honduras,mesti,,MOON,Constenla Umaña 2005
1299,Cacaopera,ajku,a,MOON,Constenla Umaña 2005
1300,Mayangna,wajku,a,MOON,Constenla Umaña 2005
1301,Ulua,wajku,a,MOON,Constenla Umaña 2005
1302,Mískito,kãti,,MOON,Constenla Umaña 2005
1303,Pech,jwì,,MOON,Constenla Umaña 2005
1304,Rama,tukan,,MOON,Constenla Umaña 2005
1305,Maléku Jaíka,ɬixi:,b,MOON,Constenla Umaña 2005
1306,Boruca,tèbéx,,MOON,Constenla Umaña 2005
1307,Bribri,sǐuʊ̀,b,MOON,Constenla Umaña 2005
1308,Cabécar,tuɺù,,MOON,Constenla Umaña 2005
1309,Teribe,mók,,MOON,Constenla Umaña 2005
1310,Ngäbere,sɣ,b,MOON,Constenla Umaña 2005
1311,Boruca,dai,,MOON,Constenla Umaña 2005
1312,Dorasque,sirila,b,MOON,Constenla Umaña 2005
1313,San Blas Kuna,ni:,b,MOON,Constenla Umaña 2005
1314,Cogui,'saka,e,MOON,Constenla Umaña 2005
1315,Ika,'tima,b,MOON,Constenla Umaña 2005
1316,Damana,saga,e,MOON,Constenla Umaña 2005
1317,Chimila,maʔmasu,,MOON,Constenla Umaña 2005
1318,Chibcha,tʲie,b,MOON,Constenla Umaña 2005
1319,Central Tunebo,siʔ'joɾa,b,MOON,Constenla Umaña 2005
1320,Barí,tiba:,b,MOON,Constenla Umaña 2005
1321,Lenca-Salvador,kaj,,CRY,Constenla Umaña 2005
1322,Lenca-Honduras,aj,a,CRY,Constenla Umaña 2005
1323,Cacaopera,walwa,,CRY,Constenla Umaña 2005
1324,Mayangna,ajdi,a,CRY,Constenla Umaña 2005
1325,Ulua,ajda,a,CRY,Constenla Umaña 2005
1326,Mískito,in,,CRY,Constenla Umaña 2005
1327,Pech,àkàh,,CRY,Constenla Umaña 2005
1328,Rama,paun,b,CRY,Constenla Umaña 2005
1329,Maléku Jaíka,xue:,,CRY,Constenla Umaña 2005
1330,Boruca,bò,b,CRY,Constenla Umaña 2005
1331,Bribri,iĩ,c,CRY,Constenla Umaña 2005
1332,Cabécar,hĩ,c,CRY,Constenla Umaña 2005
1333,Teribe,sɾáɾ,,CRY,Constenla Umaña 2005
1334,Ngäbere,mui,b,CRY,Constenla Umaña 2005
1335,Boruca,moe,b,CRY,Constenla Umaña 2005
1336,Dorasque,bos,b,CRY,Constenla Umaña 2005
1337,San Blas Kuna,po,b,CRY,Constenla Umaña 2005
1338,Cogui,'mau,b,CRY,Constenla Umaña 2005
1339,Ika,mau,b,CRY,Constenla Umaña 2005
1340,Damana,áuau,,CRY,Constenla Umaña 2005
1341,Chimila,'o:ni,,CRY,Constenla Umaña 2005
1342,Chibcha,kon,ch,CRY,Constenla Umaña 2005
1343,Central Tunebo,ko'ni,ch,CRY,Constenla Umaña 2005
1344,Barí,kona,ch,CRY,Constenla Umaña 2005
1345,Lenca-Salvador,laNke,,MOTHER,Constenla Umaña 2005
1346,Lenca-Honduras,mina,a,MOTHER,Constenla Umaña 2005
1347,Cacaopera,ami,a,MOTHER,Constenla Umaña 2005
1348,Mayangna,itaŋ,b,MOTHER,Constenla Umaña 2005
1349,Ulua,itaŋ,b,MOTHER,Constenla Umaña 2005
1350,Mískito,japti,,MOTHER,Constenla Umaña 2005
1351,Pech,kákì,,MOTHER,Constenla Umaña 2005
1352,Rama,aiɾuŋ,,MOTHER,Constenla Umaña 2005
1353,Maléku Jaíka,su:,,MOTHER,Constenla Umaña 2005
1354,Boruca,bè,c,MOTHER,Constenla Umaña 2005
1355,Bribri,abĩ́,a,MOTHER,Constenla Umaña 2005
1356,Cabécar,bĩ́daã̀,a,MOTHER,Constenla Umaña 2005
1357,Teribe,mé,c,MOTHER,Constenla Umaña 2005
1358,Ngäbere,meje,c,MOTHER,Constenla Umaña 2005
1359,Boruca,tʃebi,,MOTHER,Constenla Umaña 2005
1360,Dorasque,toó,,MOTHER,Constenla Umaña 2005
1361,San Blas Kuna,nana,,MOTHER,Constenla Umaña 2005
1362,Cogui,'haba,ch,MOTHER,Constenla Umaña 2005
1363,Ika,'zaku,,MOTHER,Constenla Umaña 2005
1364,Damana,abu,ch,MOTHER,Constenla Umaña 2005
1365,Chimila,ka:hmanta,,MOTHER,Constenla Umaña 2005
1366,Chibcha,ɣuaia,,MOTHER,Constenla Umaña 2005
1367,Central Tunebo,a'ba,ch,MOTHER,Constenla Umaña 2005
1368,Barí,abama,ch,MOTHER,Constenla Umaña 2005
1369,Lenca-Salvador,ʃamtoa,a,BAD,Constenla Umaña 2005
1370,Lenca-Honduras,kiauɾu,,BAD,Constenla Umaña 2005
1371,Cacaopera,jamua,a,BAD,Constenla Umaña 2005
1372,Mayangna,dutni,b,BAD,Constenla Umaña 2005
1373,Ulua,dutka,b,BAD,Constenla Umaña 2005
1374,Mískito,sawɾa,,BAD,Constenla Umaña 2005
1375,Pech,wàɾkwá,c,BAD,Constenla Umaña 2005
1376,Rama,kwahala,c,BAD,Constenla Umaña 2005
1377,Maléku Jaíka,eme: koka:ɾiŋa,,BAD,Constenla Umaña 2005
1378,Boruca,sádʒèŋ,,BAD,Constenla Umaña 2005
1379,Bribri,suɺǔ,ch,BAD,Constenla Umaña 2005
1380,Cabécar,saɺuí,ch,BAD,Constenla Umaña 2005
1381,Teribe,ó,,BAD,Constenla Umaña 2005
1382,Ngäbere,kɔme,,BAD,Constenla Umaña 2005
1383,Boruca,me no,,BAD,Constenla Umaña 2005
1384,Dorasque,irógla,,BAD,Constenla Umaña 2005
1385,San Blas Kuna,itʃakkwakwa,,BAD,Constenla Umaña 2005
1386,Cogui,'ʃane,,BAD,Constenla Umaña 2005
1387,Ika,du naʔ neika,,BAD,Constenla Umaña 2005
1388,Damana,unanduanéka,,BAD,Constenla Umaña 2005
1389,Chimila,dʒo:ta,,BAD,Constenla Umaña 2005
1390,Chibcha,atʲuentsa,,BAD,Constenla Umaña 2005
1391,Central Tunebo,aj batɾo,,BAD,Constenla Umaña 2005
1392,Barí,atakkasu,,BAD,Constenla Umaña 2005
1393,Lenca-Salvador,koʃaka,a,HAND,Constenla Umaña 2005
1394,Lenca-Honduras,kulala,a,HAND,Constenla Umaña 2005
1395,Cacaopera,panam,,HAND,Constenla Umaña 2005
1396,Mayangna,tin,b,HAND,Constenla Umaña 2005
1397,Ulua,tin,b,HAND,Constenla Umaña 2005
1398,Mískito,mihta,,HAND,Constenla Umaña 2005
1399,Pech,swà,,HAND,Constenla Umaña 2005
1400,Rama,kwi:k,c,HAND,Constenla Umaña 2005
1401,Maléku Jaíka,kuki:,c,HAND,Constenla Umaña 2005
1402,Boruca,dʒùɾéʔ,ch,HAND,Constenla Umaña 2005
1403,Bribri,uɺa,ch,HAND,Constenla Umaña 2005
1404,Cabécar,huɺà,ch,HAND,Constenla Umaña 2005
1405,Teribe,óɾkuò,d,HAND,Constenla Umaña 2005
1406,Ngäbere,kise,,HAND,Constenla Umaña 2005
1407,Boruca,ko,a,HAND,Constenla Umaña 2005
1408,Dorasque,kul,ch,HAND,Constenla Umaña 2005
1409,San Blas Kuna,aɾkan,d,HAND,Constenla Umaña 2005
1410,Cogui,'kokala,a,HAND,Constenla Umaña 2005
1411,Ika,'gunnɨ,ch,HAND,Constenla Umaña 2005
1412,Damana,'gula,ch,HAND,Constenla Umaña 2005
1413,Kankuamo,gúna,ch,HAND,Constenla Umaña 2005
1414,Chimila,hattakɾa,e,HAND,Constenla Umaña 2005
1415,Chibcha,ɨta,e,HAND,Constenla Umaña 2005
1416,Central Tunebo,'atkaɾa,e,HAND,Constenla Umaña 2005
1417,Barí,akdu,,HAND,Constenla Umaña 2005
1418,Lenca-Salvador,ʃil,,KILL,Constenla Umaña 2005
1419,Lenca-Honduras,kas,,KILL,Constenla Umaña 2005
1420,Cacaopera,kulina,,KILL,Constenla Umaña 2005
1421,Mayangna,i:,a,KILL,Constenla Umaña 2005
1422,Ulua,i:,a,KILL,Constenla Umaña 2005
1423,Mískito,ik,a,KILL,Constenla Umaña 2005
1424,Pech,àmàs,,KILL,Constenla Umaña 2005
1425,Rama,maliŋ,,KILL,Constenla Umaña 2005
1426,Maléku Jaíka,kua:,b,KILL,Constenla Umaña 2005
1427,Boruca,áiʔ,,KILL,Constenla Umaña 2005
1428,Bribri,kʊt,c,KILL,Constenla Umaña 2005
1429,Cabécar,kot,c,KILL,Constenla Umaña 2005
1430,Teribe,zɾʊ́k,,KILL,Constenla Umaña 2005
1431,Ngäbere,kɔmike,,KILL,Constenla Umaña 2005
1432,Boruca,gweda,b,KILL,Constenla Umaña 2005
1433,Dorasque,,,KILL,Constenla Umaña 2005
1434,San Blas Kuna,opurkwe,,KILL,Constenla Umaña 2005
1435,Cogui,gu'aʃ,b,KILL,Constenla Umaña 2005
1436,Ika,'gwak,b,KILL,Constenla Umaña 2005
1437,Damana,gwaʒ,b,KILL,Constenla Umaña 2005
1438,Chimila,gwah,b,KILL,Constenla Umaña 2005
1439,Chibcha,ɣu,b,KILL,Constenla Umaña 2005
1440,Central Tunebo,ja'uwi,,KILL,Constenla Umaña 2005
1441,Barí,so,,KILL,Constenla Umaña 2005
1442,Lenca-Salvador,kotaN,a,MOUNTAIN,Constenla Umaña 2005
1443,Lenca-Honduras,kotaN,a,MOUNTAIN,Constenla Umaña 2005
1444,Cacaopera,karan,a,MOUNTAIN,Constenla Umaña 2005
1445,Mayangna,asaŋ,b,MOUNTAIN,Constenla Umaña 2005
1446,Ulua,asaŋ,b,MOUNTAIN,Constenla Umaña 2005
1447,Mískito,asaŋ taɾa,b,MOUNTAIN,Constenla Umaña 2005
1448,Pech,ʃókà,,MOUNTAIN,Constenla Umaña 2005
1449,Rama,ta:sup,,MOUNTAIN,Constenla Umaña 2005
1450,Maléku Jaíka,okteki:,,MOUNTAIN,Constenla Umaña 2005
1451,Boruca,dʒàbáʔtáŋ,,MOUNTAIN,Constenla Umaña 2005
1452,Bribri,kã̂ batà,c,MOUNTAIN,Constenla Umaña 2005
1453,Cabécar,kã́ batà,c,MOUNTAIN,Constenla Umaña 2005
1454,Teribe,dɺùb,,MOUNTAIN,Constenla Umaña 2005
1455,Ngäbere,ŋutio,,MOUNTAIN,Constenla Umaña 2005
1456,Boruca,hwitʃuga,d,MOUNTAIN,Constenla Umaña 2005
1457,Dorasque,tuú,,MOUNTAIN,Constenla Umaña 2005
1458,San Blas Kuna,jala,,MOUNTAIN,Constenla Umaña 2005
1459,Cogui,ge'ka,,MOUNTAIN,Constenla Umaña 2005
1460,Ika,'gwiɾkənɨ,d,MOUNTAIN,Constenla Umaña 2005
1461,Damana,ʃimu'rua,,MOUNTAIN,Constenla Umaña 2005
1462,Chimila,ittikoŋkɾa,,MOUNTAIN,Constenla Umaña 2005
1463,Chibcha,ɣua,d,MOUNTAIN,Constenla Umaña 2005
1464,Central Tunebo,'kubaɾa,,MOUNTAIN,Constenla Umaña 2005
1465,Barí,ɲena,,MOUNTAIN,Constenla Umaña 2005
1466,Lenca-Salvador,ti,,BITE,Constenla Umaña 2005
1467,Lenca-Honduras,kaj,a,BITE,Constenla Umaña 2005
1468,Cacaopera,api,,BITE,Constenla Umaña 2005
1469,Mayangna,kas,a,BITE,Constenla Umaña 2005
1470,Ulua,kas,a,BITE,Constenla Umaña 2005
1471,Mískito,sam,,BITE,Constenla Umaña 2005
1472,Pech,sáhkɾàh,,BITE,Constenla Umaña 2005
1473,Rama,aɾŋul,,BITE,Constenla Umaña 2005
1474,Maléku Jaíka,tʃiu:,,BITE,Constenla Umaña 2005
1475,Boruca,túʔ,,BITE,Constenla Umaña 2005
1476,Bribri,kʊ,b,BITE,Constenla Umaña 2005
1477,Cabécar,kʊ,b,BITE,Constenla Umaña 2005
1478,Teribe,uɪ́,,BITE,Constenla Umaña 2005
1479,Ngäbere,kwet,c,BITE,Constenla Umaña 2005
1480,Boruca,gute,c,BITE,Constenla Umaña 2005
1481,Dorasque,,,BITE,Constenla Umaña 2005
1482,San Blas Kuna,kunn,c,BITE,Constenla Umaña 2005
1483,Cogui,hau'lihiĩ,,BITE,Constenla Umaña 2005
1484,Ika,kə'kus,,BITE,Constenla Umaña 2005
1485,Damana,ʒangaka,,BITE,Constenla Umaña 2005
1486,Chimila,ɾa:gwa,,BITE,Constenla Umaña 2005
1487,Chibcha,ka,a,BITE,Constenla Umaña 2005
1488,Central Tunebo,'koʔ,b,BITE,Constenla Umaña 2005
1489,Barí,ko,b,BITE,Constenla Umaña 2005
1490,Lenca-Salvador,sija,,WOMEN,Constenla Umaña 2005
1491,Lenca-Honduras,mop,,WOMEN,Constenla Umaña 2005
1492,Cacaopera,juara,a,WOMEN,Constenla Umaña 2005
1493,Mayangna,jal,a,WOMEN,Constenla Umaña 2005
1494,Ulua,jal,a,WOMEN,Constenla Umaña 2005
1495,Mískito,majrin,b,WOMEN,Constenla Umaña 2005
1496,Pech,kóɾtà,c,WOMEN,Constenla Umaña 2005
1497,Rama,kuma:,,WOMEN,Constenla Umaña 2005
1498,Maléku Jaíka,kuɾi:xuɾi:,c,WOMEN,Constenla Umaña 2005
1499,Boruca,ɾamɾóxk,ch,WOMEN,Constenla Umaña 2005
1500,Bribri,aɺákʊ̀ɺ,ch,WOMEN,Constenla Umaña 2005
1501,Cabécar,aɺâkɺʊ̀,ch,WOMEN,Constenla Umaña 2005
1502,Teribe,uàɺɪ́,,WOMEN,Constenla Umaña 2005
1503,Ngäbere,meɾi,b,WOMEN,Constenla Umaña 2005
1504,Boruca,mũĩŋa,,WOMEN,Constenla Umaña 2005
1505,Dorasque,biá,e,WOMEN,Constenla Umaña 2005
1506,San Blas Kuna,ome,,WOMEN,Constenla Umaña 2005
1507,Cogui,'munʒi,d,WOMEN,Constenla Umaña 2005
1508,Ika,aʔ'mia,,WOMEN,Constenla Umaña 2005
1509,Damana,'mena,b,WOMEN,Constenla Umaña 2005
1510,Chimila,dʒuwiɾi,,WOMEN,Constenla Umaña 2005
1511,Chibcha,βuhutʲa,d,WOMEN,Constenla Umaña 2005
1512,Central Tunebo,wi'w̃a,,WOMEN,Constenla Umaña 2005
1513,Barí,bio,e,WOMEN,Constenla Umaña 2005
1514,Lenca-Salvador,nepkuɾu,a,NOSE,Constenla Umaña 2005
1515,Lenca-Honduras,nepsek,a,NOSE,Constenla Umaña 2005
1516,Cacaopera,namn,a,NOSE,Constenla Umaña 2005
1517,Mayangna,nam,a,NOSE,Constenla Umaña 2005
1518,Ulua,nantak,a,NOSE,Constenla Umaña 2005
1519,Mískito,kakma,,NOSE,Constenla Umaña 2005
1520,Pech,tã́jsá,a,NOSE,Constenla Umaña 2005
1521,Rama,taik,a,NOSE,Constenla Umaña 2005
1522,Maléku Jaíka,tai:ki,a,NOSE,Constenla Umaña 2005
1523,Boruca,ʃìská,,NOSE,Constenla Umaña 2005
1524,Bribri,dʒɪ̂k,a,NOSE,Constenla Umaña 2005
1525,Cabécar,dʒík,a,NOSE,Constenla Umaña 2005
1526,Teribe,nékuò,a,NOSE,Constenla Umaña 2005
1527,Ngäbere,ĩsɔ̃,,NOSE,Constenla Umaña 2005
1528,Boruca,se,,NOSE,Constenla Umaña 2005
1529,Dorasque,nekó,a,NOSE,Constenla Umaña 2005
1530,San Blas Kuna,asu,,NOSE,Constenla Umaña 2005
1531,Cogui,hũ'nũkala,,NOSE,Constenla Umaña 2005
1532,Ika,mi'suŋɨ,b,NOSE,Constenla Umaña 2005
1533,Damana,mĩʃu'a,,NOSE,Constenla Umaña 2005
1534,Chimila,da:,a,NOSE,Constenla Umaña 2005
1535,Chibcha,saka,a,NOSE,Constenla Umaña 2005
1536,Central Tunebo,'reʃa,a,NOSE,Constenla Umaña 2005
1537,Barí,nissa,a,NOSE,Constenla Umaña 2005
1538,Lenca-Salvador,sinka,a,BLACK,Constenla Umaña 2005
1539,Lenca-Honduras,siɾi,a,BLACK,Constenla Umaña 2005
1540,Cacaopera,mulka,,BLACK,Constenla Umaña 2005
1541,Mayangna,sa:ni,b,BLACK,Constenla Umaña 2005
1542,Ulua,baraska,c,BLACK,Constenla Umaña 2005
1543,Mískito,siksa,a,BLACK,Constenla Umaña 2005
1544,Pech,sã̀wnkwa,,BLACK,Constenla Umaña 2005
1545,R',paɾŋa,c,BLACK,Constenla Umaña 2005
1546,Maléku Jaíka,utʃu:li iŋa:,,BLACK,Constenla Umaña 2005
1547,Boruca,tùɾìnát,,BLACK,Constenla Umaña 2005
1548,Bribri,daɺǒɺǒ,ch,BLACK,Constenla Umaña 2005
1549,Cabécar,doɺódã̀,ch,BLACK,Constenla Umaña 2005
1550,Teribe,sòksĩ́,,BLACK,Constenla Umaña 2005
1551,Ngäbere,dɾɯne,c,BLACK,Constenla Umaña 2005
1552,Boruca,heɾe,,BLACK,Constenla Umaña 2005
1553,Dorasque,saná,b,BLACK,Constenla Umaña 2005
1554,San Blas Kuna,sitʃi,,BLACK,Constenla Umaña 2005
1555,Cogui,a'baksɯ,c,BLACK,Constenla Umaña 2005
1556,Ika,twi kawa,,BLACK,Constenla Umaña 2005
1557,Damana,amɨkʃi,c,BLACK,Constenla Umaña 2005
1558,Chimila,sih'tu,a,BLACK,Constenla Umaña 2005
1559,Chibcha,mɨhɨsio,c,BLACK,Constenla Umaña 2005
1560,Central Tunebo,ti'kaja,,BLACK,Constenla Umaña 2005
1561,Barí,ma:,b,BLACK,Constenla Umaña 2005
1562,Lenca-Salvador,wewe,a,CHILD,Constenla Umaña 2005
1563,Lenca-Honduras,wewe,a,CHILD,Constenla Umaña 2005
1564,Cacaopera,misa,,CHILD,Constenla Umaña 2005
1565,Mayangna,muihbin,,CHILD,Constenla Umaña 2005
1566,Ulua,baka,b,CHILD,Constenla Umaña 2005
1567,Mískito,tuktan,,CHILD,Constenla Umaña 2005
1568,Pech,jé,,CHILD,Constenla Umaña 2005
1569,Rama,ti:skama,,CHILD,Constenla Umaña 2005
1570,Maléku Jaíka,aɾaptʃa:,c,CHILD,Constenla Umaña 2005
1571,Boruca,uáʔ,a,CHILD,Constenla Umaña 2005
1572,Bribri,aɺá,c,CHILD,Constenla Umaña 2005
1573,Cabécar,dʒabà,d,CHILD,Constenla Umaña 2005
1574,Teribe,ã́ũã̀,,CHILD,Constenla Umaña 2005
1575,Ngäbere,nɔbɔgɾe,d,CHILD,Constenla Umaña 2005
1576,Boruca,kiɾogwa,,CHILD,Constenla Umaña 2005
1577,Dorasque,áni,c,CHILD,Constenla Umaña 2005
1578,San Blas Kuna,matʃikwa,,CHILD,Constenla Umaña 2005
1579,Cogui,'sukua,,CHILD,Constenla Umaña 2005
1580,Ika,gəmmɨ'sinɨ,d,CHILD,Constenla Umaña 2005
1581,Damana,gɨmɨntina,d,CHILD,Constenla Umaña 2005
1582,Chimila,'oggwe,,CHILD,Constenla Umaña 2005
1583,Chibcha,ɣuasɣua,a,CHILD,Constenla Umaña 2005
1584,Central Tunebo,'saha,,CHILD,Constenla Umaña 2005
1585,Barí,baku,b,CHILD,Constenla Umaña 2005
1586,Lenca-Salvador,ke,a,NO,Constenla Umaña 2005
1587,Lenca-Honduras,te,b,NO,Constenla Umaña 2005
1588,Cacaopera,san,c,NO,Constenla Umaña 2005
1589,Mayangna,sa,c,NO,Constenla Umaña 2005
1590,Ulua,sa,c,NO,Constenla Umaña 2005
1591,Mískito,s,c,NO,Constenla Umaña 2005
1592,Pech,t,b,NO,Constenla Umaña 2005
1593,Rama,a:,,NO,Constenla Umaña 2005
1594,Maléku Jaíka,e:pe,ch,NO,Constenla Umaña 2005
1595,Boruca,íʔʃì,,NO,Constenla Umaña 2005
1596,Bribri,kɪ́,a,NO,Constenla Umaña 2005
1597,Cabécar,ká,a,NO,Constenla Umaña 2005
1598,Teribe,ʒɪ́m,,NO,Constenla Umaña 2005
1599,Ngäbere,ɲakaɾe,,NO,Constenla Umaña 2005
1600,Boruca,me,ch,NO,Constenla Umaña 2005
1601,Dorasque,,,NO,Constenla Umaña 2005
1602,San Blas Kuna,suli,,NO,Constenla Umaña 2005
1603,Cogui,sa,c,NO,Constenla Umaña 2005
1604,Ika,uʔ,d,NO,Constenla Umaña 2005
1605,Damana,ung,d,NO,Constenla Umaña 2005
1606,Chimila,dʒumma,,NO,Constenla Umaña 2005
1607,Chibcha,tsa,,NO,Constenla Umaña 2005
1608,Central Tunebo,'baɾ,,NO,Constenla Umaña 2005
1609,Barí,akkaba,,NO,Constenla Umaña 2005
1610,Lenca-Salvador,ts'upa,,NIGHT,Constenla Umaña 2005
1611,Lenca-Honduras,taNki,,NIGHT,Constenla Umaña 2005
1612,Cacaopera,iran,,NIGHT,Constenla Umaña 2005
1613,Mayangna,pukta,a,NIGHT,Constenla Umaña 2005
1614,Ulua,pukka,a,NIGHT,Constenla Umaña 2005
1615,Mískito,tihmja,,NIGHT,Constenla Umaña 2005
1616,Pech,kàká,,NIGHT,Constenla Umaña 2005
1617,Rama,kik,,NIGHT,Constenla Umaña 2005
1618,Maléku Jaíka,tiu:ɾika:,b,NIGHT,Constenla Umaña 2005
1619,Boruca,bìgát,,NIGHT,Constenla Umaña 2005
1620,Bribri,dadʒẽ̂uè,,NIGHT,Constenla Umaña 2005
1621,Cabécar,tauídã̀,b,NIGHT,Constenla Umaña 2005
1622,Teribe,ʃkɪ́,,NIGHT,Constenla Umaña 2005
1623,Ngäbere,deu,,NIGHT,Constenla Umaña 2005
1624,Boruca,ŋaheɾe,,NIGHT,Constenla Umaña 2005
1625,Dorasque,be,,NIGHT,Constenla Umaña 2005
1626,San Blas Kuna,muttikki,,NIGHT,Constenla Umaña 2005
1627,Cogui,'sesɯn,c,NIGHT,Constenla Umaña 2005
1628,Ika,'seiaʔ,c,NIGHT,Constenla Umaña 2005
1629,Damana,ʃe,c,NIGHT,Constenla Umaña 2005
1630,Chimila,'sihnaka,c,NIGHT,Constenla Umaña 2005
1631,Chibcha,tsa,c,NIGHT,Constenla Umaña 2005
1632,Central Tunebo,'ʃejkaɾa,c,NIGHT,Constenla Umaña 2005
1633,Barí,sẽẽ,c,NIGHT,Constenla Umaña 2005
1634,Lenca-Salvador,pinani,a,WE,Constenla Umaña 2005
1635,Lenca-Honduras,apinan,a,WE,Constenla Umaña 2005
1636,Cacaopera,jamtakahi,,WE,Constenla Umaña 2005
1637,Mayangna,jaŋna,b,WE,Constenla Umaña 2005
1638,Ulua,jaŋna,b,WE,Constenla Umaña 2005
1639,Mískito,jaŋnani,,WE,Constenla Umaña 2005
1640,i:a,untàs,,WE,Constenla Umaña 2005
1641,Rama,nusut,c,WE,Constenla Umaña 2005
1642,Maléku Jaíka,toi:,,WE,Constenla Umaña 2005
1643,Boruca,dìʔ ɾóxk,ch,WE,Constenla Umaña 2005
1644,Bribri,sǎʔ,d,WE,Constenla Umaña 2005
1645,Cabécar,sá,d,WE,Constenla Umaña 2005
1646,Teribe,tʰã̀ũã́,,WE,Constenla Umaña 2005
1647,Ngäbere,nũ,c,WE,Constenla Umaña 2005
1648,Boruca,tʃe,,WE,Constenla Umaña 2005
1649,Dorasque,kuχúok,,WE,Constenla Umaña 2005
1650,San Blas Kuna,anmala,,WE,Constenla Umaña 2005
1651,Cogui,'nasɯn,,WE,Constenla Umaña 2005
1652,Ika,'níwi,ch,WE,Constenla Umaña 2005
1653,Damana,nawindina,,WE,Constenla Umaña 2005
1654,Central Tunebo,'isa,,WE,Constenla Umaña 2005
1655,Chimila,na:ɾiɾaʔ,,WE,Constenla Umaña 2005
1656,Chibcha,tʲie,e,WE,Constenla Umaña 2005
1657,Barí,tiɲi,e,WE,Constenla Umaña 2005
1658,Lenca-Salvador,ts'upa,a,CLOUD,Constenla Umaña 2005
1659,Lenca-Honduras,tsopata,a,CLOUD,Constenla Umaña 2005
1660,Cacaopera,amu,b,CLOUD,Constenla Umaña 2005
1661,Mayangna,mukus,b,CLOUD,Constenla Umaña 2005
1662,Ulua,mukus,b,CLOUD,Constenla Umaña 2005
1663,Mískito,kasbrika,,CLOUD,Constenla Umaña 2005
1664,Pech,wanàk,,CLOUD,Constenla Umaña 2005
1665,Rama,nu:nikka:s,,CLOUD,Constenla Umaña 2005
1666,Maléku Jaíka,piu:,b,CLOUD,Constenla Umaña 2005
1667,Boruca,bók,b,CLOUD,Constenla Umaña 2005
1668,Bribri,bṍ,b,CLOUD,Constenla Umaña 2005
1669,Cabécar,bõ̀,b,CLOUD,Constenla Umaña 2005
1670,Teribe,ɸóŋ,b,CLOUD,Constenla Umaña 2005
1671,Ngäbere,mɯta,b,CLOUD,Constenla Umaña 2005
1672,Boruca,boga,b,CLOUD,Constenla Umaña 2005
1673,Dorasque,bókála,b,CLOUD,Constenla Umaña 2005
1674,San Blas Kuna,mola,b,CLOUD,Constenla Umaña 2005
1675,Cogui,'maui,b,CLOUD,Constenla Umaña 2005
1676,Ika,'məɲɨ,b,CLOUD,Constenla Umaña 2005
1677,Damana,moɲa,b,CLOUD,Constenla Umaña 2005
1678,Chimila,monse,b,CLOUD,Constenla Umaña 2005
1679,Chibcha,ʔaoa,b,CLOUD,Constenla Umaña 2005
1680,Central Tunebo,bowa'ɾa,b,CLOUD,Constenla Umaña 2005
1681,Barí,nĩɲĩkɨ,,CLOUD,Constenla Umaña 2005
1682,Lenca-Salvador,tuja,a,NEW,Constenla Umaña 2005
1683,Lenca-Honduras,tuja,a,NEW,Constenla Umaña 2005
1684,Cacaopera,misinan,b,NEW,Constenla Umaña 2005
1685,Mayangna,wisam,b,NEW,Constenla Umaña 2005
1686,Ulua,bata:ka,,NEW,Constenla Umaña 2005
1687,Mískito,raja,,NEW,Constenla Umaña 2005
1688,Pech,wàjʔkà,,NEW,Constenla Umaña 2005
1689,Rama,abi:sa,b,NEW,Constenla Umaña 2005
1690,Maléku Jaíka,ɬa:ŋalu:ɾi,,NEW,Constenla Umaña 2005
1691,Boruca,kìnká,,NEW,Constenla Umaña 2005
1692,Bribri,pã̌ã̀ɺĩ̀,,NEW,Constenla Umaña 2005
1693,Cabécar,spã́'nã̀,,NEW,Constenla Umaña 2005
1694,Teribe,tàgɺɪ́ŋ,c,NEW,Constenla Umaña 2005
1695,Ngäbere,mɣtɣ,b,NEW,Constenla Umaña 2005
1696,Boruca,hageɾe,,NEW,Constenla Umaña 2005
1697,Dorasque,ponol,,NEW,Constenla Umaña 2005
1698,San Blas Kuna,pi:ni,b,NEW,Constenla Umaña 2005
1699,Cogui,a'bisa,b,NEW,Constenla Umaña 2005
1700,Ika,a'bitti,b,NEW,Constenla Umaña 2005
1701,Damana,ambɨ'si,b,NEW,Constenla Umaña 2005
1702,Chimila,'takkeʔ,c,NEW,Constenla Umaña 2005
1703,Chibcha,βihitsa,b,NEW,Constenla Umaña 2005
1704,Central Tunebo,'ibsoja,b,NEW,Constenla Umaña 2005
1705,Barí,okdo,,NEW,Constenla Umaña 2005
1706,Lenca-Salvador,eni,a,HEAR,Constenla Umaña 2005
1707,Lenca-Honduras,en,a,HEAR,Constenla Umaña 2005
1708,Cacaopera,ara,b,HEAR,Constenla Umaña 2005
1709,Mayangna,daka,c,HEAR,Constenla Umaña 2005
1710,Ulua,daka,c,HEAR,Constenla Umaña 2005
1711,Mískito,wal,b,HEAR,Constenla Umaña 2005
1712,Pech,weʃ,,HEAR,Constenla Umaña 2005
